id,result,type,time cost,pre-screening,reverse,trigger size,sym ratio
id-00000000,False,label specific,32.6272029876709,"Targets: [0], Victims: [tensor([4, 7])]",Target Class: 0 Victim Class: 4 Trigger Size: 10000000000.0 Optimization Steps: 21,10000000000.0,
id-00000001,False,Universal,1643.9113094806671,"Targets: tensor([0]), Victims: None",Target Class: 0 Victim Class: all Trigger Size: 2885.2230224609375 Optimization Steps: 161,2885.2230224609375,
id-00000002,False,,17.549953937530518,"Targets: [], Victims: []",,,
id-00000003,True,label specific,35.77088284492493,"Targets: [0, 1], Victims: [tensor([5, 8]), tensor([6])]",Target Class: 0 Victim Class: 8 Trigger Size: 120.41090393066406 Optimization Steps: 98,120.41090393066406,55.78819373206954
id-00000004,False,label specific,10.38974905014038,"Targets: [12], Victims: [tensor([14])]",Target Class: 12 Victim Class: 14 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000005,False,Universal,848.5646343231201,"Targets: tensor([0]), Victims: None",Target Class: 0 Victim Class: all Trigger Size: 3799.326904296875 Optimization Steps: 116,3799.326904296875,
id-00000006,True,Universal,157.88350629806519,"Targets: tensor([10]), Victims: None",Target Class: 10 Victim Class: all Trigger Size: 824.5954318576389 Optimization Steps: 66,824.5954318576389,
id-00000007,True,label specific,99.69884490966797,"Targets: [1, 9], Victims: [tensor([20]), tensor([20])]",Target Class: 9 Victim Class: 20 Trigger Size: 514.91015625 Optimization Steps: 310,514.91015625,10.242895453545446
id-00000008,False,,20.20454978942871,"Targets: [], Victims: []",,,
id-00000009,True,Universal,3175.2218885421753,"Targets: tensor([4]), Victims: None",Target Class: 4 Victim Class: all Trigger Size: 93.59891401018415 Optimization Steps: 127,93.59891401018415,
id-00000010,False,,12.298462390899658,"Targets: [], Victims: []",,,
id-00000011,False,,11.590208768844604,"Targets: [], Victims: []",,,
id-00000012,False,,20.46985673904419,"Targets: [], Victims: []",,,
id-00000013,True,label specific,241.6618514060974,"Targets: [0, 2, 3, 4, 5, 7, 11, 12, 15, 16], Victims: [tensor([15]), tensor([ 1, 10]), tensor([4]), tensor([14]), tensor([10]), tensor([1, 9]), tensor([ 1, 10, 15]), tensor([ 4, 14]), tensor([14]), tensor([4])]",Target Class: 11 Victim Class: 15 Trigger Size: 124.50299835205078 Optimization Steps: 127,124.50299835205078,121.63778970549224
id-00000014,False,,11.132597923278809,"Targets: [], Victims: []",,,
id-00000015,False,,8.272382497787476,"Targets: [], Victims: []",,,
id-00000016,False,,17.52834439277649,"Targets: [], Victims: []",,,
id-00000017,False,,8.810150861740112,"Targets: [], Victims: []",,,
id-00000018,False,,16.901154279708862,"Targets: [], Victims: []",,,
id-00000019,False,,16.05219841003418,"Targets: [], Victims: []",,,
id-00000020,False,,3.6919925212860107,"Targets: [], Victims: []",,,
id-00000021,False,,12.595725774765015,"Targets: [], Victims: []",,,
id-00000022,True,label specific,33.65658688545227,"Targets: [0, 1, 2, 3, 5, 6, 7, 9, 10], Victims: [tensor([11]), tensor([6, 7, 9]), tensor([ 0, 10]), tensor([11]), tensor([6, 8]), tensor([5]), tensor([1, 8]), tensor([3]), tensor([2])]",Target Class: 5 Victim Class: 6 Trigger Size: 54.83860778808594 Optimization Steps: 103,54.83860778808594,37.57739260074632
id-00000023,True,label specific,136.11167430877686,"Targets: [3, 9, 12, 13], Victims: [tensor([8]), tensor([6]), tensor([1, 8]), tensor([0])]",Target Class: 12 Victim Class: 8 Trigger Size: 389.1537170410156 Optimization Steps: 201,389.1537170410156,10.612619766528445
id-00000024,False,label specific,92.06118702888489,"Targets: [8], Victims: [tensor([5, 9])]",Target Class: 8 Victim Class: 5 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000025,False,,6.430930852890015,"Targets: [], Victims: []",,,
id-00000026,False,label specific,11.79649543762207,"Targets: [9, 11], Victims: [tensor([10, 16]), tensor([16])]",Target Class: 9 Victim Class: 10 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000027,True,Universal,1979.9323785305023,"Targets: tensor([6]), Victims: None",Target Class: 6 Victim Class: all Trigger Size: 1035.9530290876116 Optimization Steps: 62,1035.9530290876116,
id-00000028,False,label specific,45.83541822433472,"Targets: [2], Victims: [tensor([8])]",Target Class: 2 Victim Class: 8 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000029,False,label specific,10.320770502090454,"Targets: [8], Victims: [tensor([2, 6])]",Target Class: 8 Victim Class: 2 Trigger Size: 10000000000.0 Optimization Steps: 21,10000000000.0,
id-00000030,False,label specific,17.183552503585815,"Targets: [1, 4], Victims: [tensor([3, 5]), tensor([1])]",Target Class: 1 Victim Class: 3 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000031,False,label specific,2072.59046626091,"Targets: [1, 3, 4], Victims: [tensor([0]), tensor([4]), tensor([3])]",Target Class: 4 Victim Class: 3 Trigger Size: 1736.4454345703125 Optimization Steps: 978,1736.4454345703125,
id-00000032,True,label specific,227.4209806919098,"Targets: [2, 8], Victims: [tensor([4, 8]), tensor([4])]",Target Class: 2 Victim Class: 4 Trigger Size: 91.61526489257812 Optimization Steps: 96,91.61526489257812,12.135183669553696
