id,result,type,time cost,pre-screening,reverse,trigger size,sym ratio
id-00000050,True,label specific,1808.3142042160034,"Targets: [0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 19], Victims: [tensor([ 1, 18]), tensor([0, 5]), tensor([4]), tensor([11]), tensor([2, 6, 7]), tensor([17]), tensor([10, 11]), tensor([10,  8, 17]), tensor([ 7, 11]), tensor([10]), tensor([14, 18]), tensor([18]), tensor([8]), tensor([2, 5])]",Target Class: 8 Victim Class: 11 Trigger Size: 49.008209228515625 Optimization Steps: 93,49.008209228515625,12.984069379121129
id-00000051,False,label specific,12.580965280532837,"Targets: [4, 5], Victims: [tensor([2]), tensor([0])]",Target Class: 4 Victim Class: 2 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000052,False,label specific,341.54131960868835,"Targets: [2, 7, 9, 12], Victims: [tensor([5, 6]), tensor([6]), tensor([12]), tensor([9])]",Target Class: 9 Victim Class: 12 Trigger Size: 173.60040283203125 Optimization Steps: 122,173.60040283203125,1.1162092966593526
id-00000053,True,Universal,966.5456852912903,"Targets: tensor([6]), Victims: None",Target Class: 6 Victim Class: all Trigger Size: 1454.3027587890624 Optimization Steps: 128,1454.3027587890624,
id-00000054,False,label specific,301.29762840270996,"Targets: [2, 5], Victims: [tensor([1]), tensor([0])]",Target Class: 2 Victim Class: 1 Trigger Size: 125.19328308105469 Optimization Steps: 115,125.19328308105469,1.5676283997875844
id-00000055,False,label specific,948.2282907962799,"Targets: [0, 1, 2, 3], Victims: [tensor([1]), tensor([0]), tensor([3]), tensor([4])]",Target Class: 3 Victim Class: 4 Trigger Size: 257.7875671386719 Optimization Steps: 112,257.7875671386719,3.19465080844111
id-00000056,True,Universal,11220.911881446838,"Targets: tensor([7]), Victims: None",Target Class: 7 Victim Class: all Trigger Size: 415.94950018988715 Optimization Steps: 305,415.94950018988715,
id-00000057,False,,17.01438045501709,"Targets: [], Victims: []",,,
id-00000058,False,label specific,701.2013947963715,"Targets: [0, 7, 18], Victims: [tensor([20]), tensor([8]), tensor([15])]",Target Class: 18 Victim Class: 15 Trigger Size: 575.1866455078125 Optimization Steps: 169,575.1866455078125,0.6065236233398253
id-00000059,False,label specific,91.9874758720398,"Targets: [0, 2, 4, 9, 10], Victims: [tensor([2]), tensor([0]), tensor([5]), tensor([11]), tensor([9])]",Target Class: 4 Victim Class: 5 Trigger Size: 79.18780517578125 Optimization Steps: 116,79.18780517578125,2.593729791515886
id-00000060,True,Universal,1776.7406342029572,"Targets: tensor([0]), Victims: None",Target Class: 0 Victim Class: all Trigger Size: 825.7824300130209 Optimization Steps: 118,825.7824300130209,
id-00000061,False,,14.054993152618408,"Targets: [], Victims: []",,,
id-00000062,False,label specific,1595.7349605560303,"Targets: [3], Victims: [tensor([1])]",Target Class: 3 Victim Class: 1 Trigger Size: 560.6033935546875 Optimization Steps: 181,560.6033935546875,1.6122570829639782
id-00000063,False,,9.125232458114624,"Targets: [], Victims: []",,,
id-00000064,True,Universal,891.402738571167,"Targets: tensor([5]), Victims: None",Target Class: 5 Victim Class: all Trigger Size: 20.242536544799805 Optimization Steps: 71,20.242536544799805,
id-00000065,False,label specific,2112.4593312740326,"Targets: [0, 1, 2, 3, 5, 6, 9, 11, 13, 14, 15], Victims: [tensor([1]), tensor([0]), tensor([0, 1]), tensor([5]), tensor([3, 8]), tensor([7]), tensor([14, 15]), tensor([10]), tensor([ 0,  7, 15]), tensor([12]), tensor([9])]",Target Class: 6 Victim Class: 7 Trigger Size: 172.02984619140625 Optimization Steps: 128,172.02984619140625,4.102746566747217
id-00000066,True,Universal,1678.3948376178741,"Targets: tensor([12]), Victims: None",Target Class: 12 Victim Class: all Trigger Size: 234.2517333984375 Optimization Steps: 60,234.2517333984375,
id-00000067,False,label specific,408.8841371536255,"Targets: [8, 9, 15], Victims: [tensor([15]), tensor([8]), tensor([8])]",Target Class: 8 Victim Class: 15 Trigger Size: 472.7799072265625 Optimization Steps: 156,472.7799072265625,1.9763961546217377
id-00000068,True,label specific,580.5974011421204,"Targets: [6, 9], Victims: [tensor([4]), tensor([4])]",Target Class: 6 Victim Class: 4 Trigger Size: 25.115291595458984 Optimization Steps: 64,25.115291595458984,58.22469042682344
id-00000069,False,label specific,4089.919491291046,"Targets: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], Victims: [tensor([7]), tensor([2, 9]), tensor([ 1, 16]), tensor([4]), tensor([3]), tensor([ 3,  4, 17]), tensor([5]), tensor([0]), tensor([10,  9, 15]), tensor([1, 8]), tensor([ 8, 16]), tensor([ 0,  1, 18]), tensor([11]), tensor([11, 17]), tensor([13, 15, 17]), tensor([ 8, 14]), tensor([10, 18]), tensor([ 4, 13, 15]), tensor([16, 14, 10])]",Target Class: 5 Victim Class: 4 Trigger Size: 258.64129638671875 Optimization Steps: 129,258.64129638671875,1.6093943027374829
id-00000070,False,label specific,2064.5751020908356,"Targets: [2, 4, 5, 6, 7, 8, 10, 11], Victims: [tensor([3]), tensor([6]), tensor([6]), tensor([0, 5]), tensor([10]), tensor([9]), tensor([7]), tensor([ 0, 10])]",Target Class: 6 Victim Class: 5 Trigger Size: 180.09188842773438 Optimization Steps: 172,180.09188842773438,3.190905114864628
id-00000071,False,label specific,1406.2091908454895,"Targets: [0, 1, 3, 5, 8, 9, 10, 16, 17], Victims: [tensor([2]), tensor([2]), tensor([4]), tensor([0]), tensor([9]), tensor([18]), tensor([4]), tensor([2]), tensor([18])]",Target Class: 3 Victim Class: 4 Trigger Size: 157.7320556640625 Optimization Steps: 102,157.7320556640625,1.519634080181652
id-00000072,False,,5.621598243713379,"Targets: [], Victims: []",,,
id-00000073,False,label specific,213.43708634376526,"Targets: [2, 3, 5, 6, 14, 15], Victims: [tensor([ 0,  1, 16]), tensor([10]), tensor([6]), tensor([5, 8]), tensor([ 9, 15]), tensor([ 9, 14, 16])]",Target Class: 15 Victim Class: 16 Trigger Size: 280.8065185546875 Optimization Steps: 152,280.8065185546875,1.7884005030501655
id-00000074,False,label specific,65.52532172203064,"Targets: [5, 7, 8], Victims: [tensor([6]), tensor([5]), tensor([4])]",Target Class: 5 Victim Class: 6 Trigger Size: 77.97694396972656 Optimization Steps: 99,77.97694396972656,0.9678016757147383
