id,result,type,time cost,pre-screening,reverse,trigger size,sym ratio
id-00000739,False,,14.463637590408325,"Targets: [], Victims: []",,,
id-00000740,False,,11.918782711029053,"Targets: [], Victims: []",,,
id-00000741,False,,11.29201364517212,"Targets: [], Victims: []",,,
id-00000742,False,label specific,4492.413516521454,"Targets: [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 15, 17, 20], Victims: [tensor([ 1, 20]), tensor([ 2, 21]), tensor([ 1, 21]), tensor([15, 17, 18]), tensor([10, 16, 21]), tensor([12]), tensor([13]), tensor([16]), tensor([10, 16]), tensor([16]), tensor([ 0, 18]), tensor([ 3, 17,  1]), tensor([19]), tensor([0])]",Target Class: 0 Victim Class: 20 Trigger Size: 923.2374267578125 Optimization Steps: 194,923.2374267578125,2.227751068633869
id-00000743,False,label specific,63.71432447433472,"Targets: [15, 16, 17], Victims: [tensor([20]), tensor([13]), tensor([2, 9])]",Target Class: 15 Victim Class: 20 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000744,False,,11.266184568405151,"Targets: [], Victims: []",,,
id-00000745,True,label specific,612.1732649803162,"Targets: [1, 3], Victims: [tensor([12, 13]), tensor([12])]",Target Class: 3 Victim Class: 12 Trigger Size: 57.289920806884766 Optimization Steps: 98,57.289920806884766,308.7196349444864
id-00000746,False,,24.231024503707886,"Targets: [], Victims: []",,,
id-00000747,False,label specific,3634.0702254772186,"Targets: [0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 23], Victims: [tensor([20]), tensor([21, 22]), tensor([21, 23]), tensor([15, 17]), tensor([ 8, 18]), tensor([19]), tensor([ 0,  6, 12]), tensor([0]), tensor([18]), tensor([9]), tensor([ 6, 18]), tensor([3, 6]), tensor([1, 6, 8]), tensor([3, 8]), tensor([8]), tensor([1]), tensor([ 9, 12]), tensor([ 0, 21]), tensor([ 1, 22,  6]), tensor([ 0, 20, 22])]",Target Class: 0 Victim Class: 20 Trigger Size: 10000000000.0 Optimization Steps: 21,10000000000.0,
id-00000748,False,,24.299894094467163,"Targets: [], Victims: []",,,
id-00000749,False,,7.203389883041382,"Targets: [], Victims: []",,,
id-00000750,False,label specific,18.310994148254395,"Targets: [1, 15], Victims: [tensor([5]), tensor([1, 5])]",Target Class: 1 Victim Class: 5 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000751,True,label specific,255.50932121276855,"Targets: [0, 5, 8, 9, 11, 14], Victims: [tensor([6]), tensor([6]), tensor([0, 6]), tensor([2]), tensor([2]), tensor([1])]",Target Class: 8 Victim Class: 6 Trigger Size: 145.16424560546875 Optimization Steps: 134,145.16424560546875,17.659344147738096
id-00000752,False,label specific,123.67250084877014,"Targets: [0, 2, 13], Victims: [tensor([13, 14]), tensor([14]), tensor([0])]",Target Class: 0 Victim Class: 13 Trigger Size: 108.70454406738281 Optimization Steps: 137,108.70454406738281,2.8368095107551716
id-00000753,False,,19.224700450897217,"Targets: [], Victims: []",,,
id-00000754,True,label specific,201.69213438034058,"Targets: [0, 1, 5, 7, 8, 10, 12], Victims: [tensor([ 1, 10]), tensor([ 0, 10]), tensor([0]), tensor([1]), tensor([1]), tensor([0]), tensor([10])]",Target Class: 1 Victim Class: 0 Trigger Size: 51.879005432128906 Optimization Steps: 73,51.879005432128906,192756201.02398792
id-00000755,False,label specific,46.552051305770874,"Targets: [0], Victims: [tensor([10])]",Target Class: 0 Victim Class: 10 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000756,True,label specific,414.66723704338074,"Targets: [0, 4, 7, 9, 10, 16, 18, 19, 20, 21], Victims: [tensor([ 2,  5, 20]), tensor([11]), tensor([ 4, 10]), tensor([10, 16]), tensor([ 4, 16]), tensor([10]), tensor([6]), tensor([1]), tensor([4]), tensor([1])]",Target Class: 0 Victim Class: 20 Trigger Size: 308.7345886230469 Optimization Steps: 184,308.7345886230469,12.349896877562307
id-00000757,False,,2.206376552581787,"Targets: [], Victims: []",,,
id-00000758,False,,32.071468353271484,"Targets: [], Victims: []",,,
id-00000759,False,,16.205012321472168,"Targets: [], Victims: []",,,
id-00000760,False,label specific,79.27002263069153,"Targets: [4, 8, 11, 13, 15], Victims: [tensor([7]), tensor([7]), tensor([7]), tensor([7]), tensor([4, 7])]",Target Class: 4 Victim Class: 7 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000761,False,,15.682577848434448,"Targets: [], Victims: []",,,
id-00000762,False,label specific,2064.601437330246,"Targets: [7], Victims: [tensor([4])]",Target Class: 7 Victim Class: 4 Trigger Size: 528.1007080078125 Optimization Steps: 159,528.1007080078125,6.708255118058546
id-00000763,False,,9.846359729766846,"Targets: [], Victims: []",,,
id-00000764,True,label specific,316.583899974823,"Targets: [14], Victims: [tensor([2])]",Target Class: 14 Victim Class: 2 Trigger Size: 189.10995483398438 Optimization Steps: 124,189.10995483398438,13.669647420303045
id-00000765,True,label specific,58.130786657333374,"Targets: [2, 5, 6, 9, 10], Victims: [tensor([10]), tensor([11]), tensor([13]), tensor([13]), tensor([5])]",Target Class: 9 Victim Class: 13 Trigger Size: 28.38150405883789 Optimization Steps: 64,28.38150405883789,352342144.35108626
id-00000766,False,,6.899338722229004,"Targets: [], Victims: []",,,
id-00000767,True,label specific,1326.538011789322,"Targets: [2], Victims: [tensor([0, 6])]",Target Class: 2 Victim Class: 6 Trigger Size: 70.12055969238281 Optimization Steps: 83,70.12055969238281,142611525.6904645
id-00000768,False,label specific,115.56473016738892,"Targets: [9, 21], Victims: [tensor([12]), tensor([0])]",Target Class: 9 Victim Class: 12 Trigger Size: 10000000000.0 Optimization Steps: 21,10000000000.0,
id-00000769,False,label specific,34.30594301223755,"Targets: [1], Victims: [tensor([8])]",Target Class: 1 Victim Class: 8 Trigger Size: 10000000000.0 Optimization Steps: 21,10000000000.0,
id-00000770,False,,17.935478925704956,"Targets: [], Victims: []",,,
id-00000771,True,label specific,378.4475247859955,"Targets: [0], Victims: [tensor([6])]",Target Class: 0 Victim Class: 6 Trigger Size: 106.58892059326172 Optimization Steps: 84,106.58892059326172,23.11293930214419
id-00000772,True,Universal,2317.1598744392395,"Targets: tensor([11]), Victims: None",Target Class: 11 Victim Class: all Trigger Size: 94.08768463134766 Optimization Steps: 58,94.08768463134766,
id-00000773,False,label specific,167.57727789878845,"Targets: [15], Victims: [tensor([0])]",Target Class: 15 Victim Class: 0 Trigger Size: 10000000000.0 Optimization Steps: 21,10000000000.0,
id-00000774,True,label specific,127.45027923583984,"Targets: [9], Victims: [tensor([7])]",Target Class: 9 Victim Class: 7 Trigger Size: 36.661293029785156 Optimization Steps: 80,36.661293029785156,272767247.7857119
id-00000775,False,,2.869412660598755,"Targets: [], Victims: []",,,
id-00000776,False,label specific,2666.1472220420837,"Targets: [11], Victims: [tensor([6])]",Target Class: 11 Victim Class: 6 Trigger Size: 2170.130859375 Optimization Steps: 242,2170.130859375,
id-00000777,False,label specific,2063.03804397583,"Targets: [1, 2, 9, 10, 12], Victims: [tensor([5]), tensor([10]), tensor([5]), tensor([2]), tensor([11])]",Target Class: 1 Victim Class: 5 Trigger Size: 688.3182373046875 Optimization Steps: 260,688.3182373046875,4.683651896544294
id-00000778,False,,2.583286762237549,"Targets: [], Victims: []",,,
id-00000779,False,,2.704631805419922,"Targets: [], Victims: []",,,
id-00000780,False,,19.656209230422974,"Targets: [], Victims: []",,,
id-00000781,False,label specific,43.1914324760437,"Targets: [1], Victims: [tensor([5])]",Target Class: 1 Victim Class: 5 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000782,False,,21.898661136627197,"Targets: [], Victims: []",,,
id-00000783,False,,7.11773419380188,"Targets: [], Victims: []",,,
id-00000784,False,,2.686446189880371,"Targets: [], Victims: []",,,
id-00000785,True,label specific,666.1707537174225,"Targets: [7, 10, 13], Victims: [tensor([16]), tensor([6]), tensor([8])]",Target Class: 13 Victim Class: 8 Trigger Size: 487.60400390625 Optimization Steps: 168,487.60400390625,45.015596632529316
id-00000786,False,,34.32105898857117,"Targets: [], Victims: []",,,
id-00000787,False,,14.376377582550049,"Targets: [], Victims: []",,,
id-00000788,False,,13.573931455612183,"Targets: [], Victims: []",,,
id-00000789,False,,21.163976907730103,"Targets: [], Victims: []",,,
id-00000790,False,,6.014713287353516,"Targets: [], Victims: []",,,
id-00000791,True,Universal,3447.483966112137,"Targets: tensor([2]), Victims: None",Target Class: 2 Victim Class: all Trigger Size: 558.5330657958984 Optimization Steps: 111,558.5330657958984,
id-00000792,False,,13.42529582977295,"Targets: [], Victims: []",,,
id-00000793,True,Universal,4834.056268930435,"Targets: tensor([8]), Victims: None",Target Class: 8 Victim Class: all Trigger Size: 730.9016723632812 Optimization Steps: 82,730.9016723632812,
