id,result,type,time cost,pre-screening,reverse,trigger size,sym ratio
id-00000000,True,label specific,143.3811902999878,"Targets: [0], Victims: [tensor([4, 7])]",Target Class: 0 Victim Class: 7 Trigger Size: 126.82107543945312 Optimization Steps: 175,126.82107543945312,8.073909568919403
id-00000001,False,Universal,3192.053612947464,"Targets: tensor([0]), Victims: None",Target Class: 0 Victim Class: all Trigger Size: 2885.2230224609375 Optimization Steps: 161,2885.2230224609375,
id-00000002,False,,17.16268491744995,"Targets: [], Victims: []",,,
id-00000003,False,label specific,47.97521257400513,"Targets: [0, 1], Victims: [tensor([5, 8]), tensor([6])]",Target Class: 1 Victim Class: 6 Trigger Size: 586.9552001953125 Optimization Steps: 143,586.9552001953125,7.8284080337963005
id-00000004,False,label specific,9.749948740005493,"Targets: [12], Victims: [tensor([14])]",Target Class: 12 Victim Class: 14 Trigger Size: 10000000000.0 Optimization Steps: 21,10000000000.0,
id-00000005,False,Universal,1981.7125210762024,"Targets: tensor([0]), Victims: None",Target Class: 0 Victim Class: all Trigger Size: 3799.326904296875 Optimization Steps: 116,3799.326904296875,
id-00000006,True,Universal,796.867960691452,"Targets: tensor([10]), Victims: None",Target Class: 10 Victim Class: all Trigger Size: 824.5954318576389 Optimization Steps: 66,824.5954318576389,
id-00000007,False,label specific,13.618326187133789,"Targets: [1, 9], Victims: [tensor([20]), tensor([20])]",Target Class: 1 Victim Class: 20 Trigger Size: 10000000000.0 Optimization Steps: 21,10000000000.0,
id-00000008,False,,20.378050804138184,"Targets: [], Victims: []",,,
id-00000009,True,Universal,4404.524069309235,"Targets: tensor([4]), Victims: None",Target Class: 4 Victim Class: all Trigger Size: 93.59891401018415 Optimization Steps: 127,93.59891401018415,
id-00000010,False,,7.029834508895874,"Targets: [], Victims: []",,,
id-00000011,False,,11.033855676651001,"Targets: [], Victims: []",,,
id-00000012,False,,19.06214928627014,"Targets: [], Victims: []",,,
id-00000013,True,label specific,455.95215368270874,"Targets: [0, 2, 3, 4, 5, 7, 11, 12, 15, 16], Victims: [tensor([15]), tensor([ 1, 10]), tensor([4]), tensor([14]), tensor([10]), tensor([1, 9]), tensor([ 1, 10, 15]), tensor([ 4, 14]), tensor([14]), tensor([4])]",Target Class: 11 Victim Class: 10 Trigger Size: 369.7843322753906 Optimization Steps: 737,369.7843322753906,9.212469690543763
id-00000014,False,,11.162314891815186,"Targets: [], Victims: []",,,
id-00000015,False,,7.533128499984741,"Targets: [], Victims: []",,,
id-00000016,False,,18.214077949523926,"Targets: [], Victims: []",,,
id-00000017,False,,7.3451619148254395,"Targets: [], Victims: []",,,
id-00000018,False,,17.032463312149048,"Targets: [], Victims: []",,,
id-00000019,False,,15.84819483757019,"Targets: [], Victims: []",,,
id-00000020,False,,3.020597457885742,"Targets: [], Victims: []",,,
id-00000021,False,,11.349288940429688,"Targets: [], Victims: []",,,
