id,result,type,time cost,pre-screening,reverse,trigger size,sym ratio
id-00000000,False,label specific,1684.9524528980255,"Targets: [5], Victims: [tensor([4])]",Target Class: 5 Victim Class: 4 Trigger Size: 541.1287841796875 Optimization Steps: 150,541.1287841796875,0.47025709536836496
id-00000001,False,label specific,503.85745644569397,"Targets: [0, 2, 3, 4, 5, 6, 7, 9, 10], Victims: [tensor([2]), tensor([0, 3]), tensor([2]), tensor([5]), tensor([4]), tensor([ 7,  9, 10]), tensor([3, 6, 8]), tensor([10]), tensor([9])]",Target Class: 10 Victim Class: 9 Trigger Size: 155.01934814453125 Optimization Steps: 125,155.01934814453125,0.8314013852070035
id-00000002,False,label specific,1116.499909877777,"Targets: [0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 14, 15, 17, 18, 19, 20, 21, 22], Victims: [tensor([3]), tensor([ 2, 12, 10]), tensor([ 3, 12, 17]), tensor([2]), tensor([13]), tensor([7]), tensor([ 8, 17]), tensor([3]), tensor([20]), tensor([ 2, 10, 11]), tensor([22, 11, 13]), tensor([13]), tensor([18]), tensor([12, 17]), tensor([21]), tensor([21]), tensor([17]), tensor([12, 13])]",Target Class: 7 Victim Class: 8 Trigger Size: 101.45272827148438 Optimization Steps: 115,101.45272827148438,2.496500574689651
id-00000003,False,label specific,18.725025177001953,"Targets: [0, 3], Victims: [tensor([5]), tensor([2])]",Target Class: 0 Victim Class: 5 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000004,False,label specific,1645.868646144867,"Targets: [3], Victims: [tensor([2])]",Target Class: 3 Victim Class: 2 Trigger Size: 87.74395751953125 Optimization Steps: 103,87.74395751953125,5.21976464892456
id-00000005,False,Universal,2553.2645168304443,"Targets: tensor([2]), Victims: None",Target Class: 2 Victim Class: all Trigger Size: 2938.142822265625 Optimization Steps: 144,2938.142822265625,
id-00000006,False,Universal,14728.745235919952,"Targets: tensor([0]), Victims: None",Target Class: 0 Victim Class: all Trigger Size: 2793.3267578125 Optimization Steps: 189,2793.3267578125,
id-00000007,True,label specific,2472.7746856212616,"Targets: [0, 4, 7], Victims: [tensor([1]), tensor([7]), tensor([4])]",Target Class: 4 Victim Class: 7 Trigger Size: 226.06027221679688 Optimization Steps: 148,226.06027221679688,10.261167569327643
id-00000008,False,,5.101520538330078,"Targets: [], Victims: []",,,
id-00000009,False,label specific,2541.156092405319,"Targets: [0, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16], Victims: [tensor([18, 19]), tensor([ 5, 12]), tensor([1]), tensor([6]), tensor([11]), tensor([7]), tensor([10]), tensor([7]), tensor([7]), tensor([5]), tensor([ 0, 13]), tensor([16]), tensor([15])]",Target Class: 14 Victim Class: 13 Trigger Size: 230.570068359375 Optimization Steps: 134,230.570068359375,1.0963499891467205
id-00000010,False,label specific,757.8837010860443,"Targets: [12, 13], Victims: [tensor([11]), tensor([11, 12])]",Target Class: 13 Victim Class: 12 Trigger Size: 68.67048645019531 Optimization Steps: 104,68.67048645019531,4.797415512303492
id-00000011,False,label specific,1512.7704951763153,"Targets: [1, 3, 5, 6, 7, 8], Victims: [tensor([2]), tensor([5]), tensor([4]), tensor([7]), tensor([6]), tensor([0])]",Target Class: 5 Victim Class: 4 Trigger Size: 130.45062255859375 Optimization Steps: 208,130.45062255859375,3.6352498920368332
id-00000012,False,label specific,1068.4538555145264,"Targets: [17], Victims: [tensor([15])]",Target Class: 17 Victim Class: 15 Trigger Size: 632.050048828125 Optimization Steps: 192,632.050048828125,1.1447495381201964
id-00000013,False,label specific,24.83286762237549,"Targets: [1, 2], Victims: [tensor([8]), tensor([1, 6])]",Target Class: 1 Victim Class: 8 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000014,False,,13.563530921936035,"Targets: [], Victims: []",,,
id-00000015,False,label specific,1478.3154246807098,"Targets: [1, 4, 5], Victims: [tensor([2]), tensor([5]), tensor([0, 4])]",Target Class: 1 Victim Class: 2 Trigger Size: 190.88095092773438 Optimization Steps: 142,190.88095092773438,1.0931539315407544
id-00000016,True,Universal,3516.739428758621,"Targets: tensor([14]), Victims: None",Target Class: 14 Victim Class: all Trigger Size: 181.3708984375 Optimization Steps: 111,181.3708984375,
id-00000017,False,label specific,335.4829030036926,"Targets: [1, 7, 9, 10, 11, 13], Victims: [tensor([0]), tensor([4]), tensor([ 7, 10]), tensor([ 9, 14]), tensor([12]), tensor([2])]",Target Class: 10 Victim Class: 9 Trigger Size: 339.78961181640625 Optimization Steps: 116,339.78961181640625,0.7778103300579672
id-00000018,True,Universal,853.020966053009,"Targets: tensor([3]), Victims: None",Target Class: 3 Victim Class: all Trigger Size: 15.026618003845215 Optimization Steps: 90,15.026618003845215,
id-00000019,False,label specific,2339.762676715851,"Targets: [4, 6, 8, 12, 14, 15], Victims: [tensor([5]), tensor([ 0, 12]), tensor([0]), tensor([15]), tensor([0]), tensor([12])]",Target Class: 4 Victim Class: 5 Trigger Size: 497.89373779296875 Optimization Steps: 146,497.89373779296875,0.9550005632859417
id-00000020,False,label specific,14.717832803726196,"Targets: [1, 2], Victims: [tensor([5]), tensor([4])]",Target Class: 1 Victim Class: 5 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000021,True,Universal,5634.773199796677,"Targets: tensor([21]), Victims: None",Target Class: 21 Victim Class: all Trigger Size: 96.26786368233817 Optimization Steps: 61,96.26786368233817,
id-00000022,False,label specific,1953.9998271465302,"Targets: [0, 3, 10, 12, 19, 20], Victims: [tensor([18]), tensor([2]), tensor([13]), tensor([13, 18]), tensor([21]), tensor([18])]",Target Class: 12 Victim Class: 13 Trigger Size: 78.4477767944336 Optimization Steps: 109,78.4477767944336,6.342361106315927
id-00000023,True,Universal,9650.47600698471,"Targets: tensor([3]), Victims: None",Target Class: 3 Victim Class: all Trigger Size: 80.60986873081752 Optimization Steps: 157,80.60986873081752,
id-00000024,False,label specific,575.6104202270508,"Targets: [2, 3, 4, 5, 6, 7, 8, 9, 10, 11], Victims: [tensor([3]), tensor([4]), tensor([ 2,  3, 11]), tensor([ 6, 12]), tensor([ 5, 12]), tensor([8]), tensor([7]), tensor([8]), tensor([11]), tensor([9])]",Target Class: 3 Victim Class: 4 Trigger Size: 31.26376724243164 Optimization Steps: 90,31.26376724243164,4.2048833710832225
id-00000025,False,label specific,525.6190845966339,"Targets: [5, 7], Victims: [tensor([8]), tensor([6])]",Target Class: 5 Victim Class: 8 Trigger Size: 954.38525390625 Optimization Steps: 161,954.38525390625,0.29187463962864674
id-00000026,True,label specific,2863.7295293807983,"Targets: [0, 1, 3, 5, 8, 9, 11, 13, 15, 17, 19], Victims: [tensor([16]), tensor([0, 3]), tensor([15]), tensor([16]), tensor([ 6,  7, 10]), tensor([10, 11]), tensor([10]), tensor([15, 17]), tensor([17]), tensor([ 6, 15]), tensor([12])]",Target Class: 13 Victim Class: 15 Trigger Size: 87.32917785644531 Optimization Steps: 141,87.32917785644531,12.29943571827324
id-00000027,True,Universal,1517.699161529541,"Targets: tensor([2]), Victims: None",Target Class: 2 Victim Class: all Trigger Size: 712.2578735351562 Optimization Steps: 154,712.2578735351562,
id-00000028,False,label specific,251.79570412635803,"Targets: [0, 3, 4], Victims: [tensor([3]), tensor([4]), tensor([5])]",Target Class: 0 Victim Class: 3 Trigger Size: 10000000000.0 Optimization Steps: 21,10000000000.0,
id-00000029,False,label specific,1107.3473029136658,"Targets: [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19], Victims: [tensor([ 1, 20]), tensor([ 0, 12, 14]), tensor([4, 6]), tensor([6]), tensor([4]), tensor([3, 4]), tensor([ 8,  9, 10]), tensor([ 2,  3, 15]), tensor([ 2, 16,  8]), tensor([ 7,  9, 11]), tensor([ 8, 12, 13]), tensor([11]), tensor([11, 20,  4]), tensor([15]), tensor([16, 19]), tensor([19]), tensor([19, 17, 16]), tensor([15, 17])]",Target Class: 11 Victim Class: 12 Trigger Size: 1901.81201171875 Optimization Steps: 45,1901.81201171875,
id-00000030,True,label specific,542.0779845714569,"Targets: [7], Victims: [tensor([1, 6])]",Target Class: 7 Victim Class: 6 Trigger Size: 34.906982421875 Optimization Steps: 108,34.906982421875,10.111876569286398
id-00000031,False,label specific,2400.2504744529724,"Targets: [5, 6], Victims: [tensor([6, 7]), tensor([5])]",Target Class: 5 Victim Class: 6 Trigger Size: 421.7034912109375 Optimization Steps: 213,421.7034912109375,0.7279506714969483
id-00000032,True,label specific,2328.323542356491,"Targets: [1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], Victims: [tensor([5, 6, 8]), tensor([3]), tensor([2]), tensor([5]), tensor([15]), tensor([ 1, 11, 12]), tensor([10]), tensor([ 8, 11]), tensor([15]), tensor([7]), tensor([13, 14]), tensor([12, 14]), tensor([ 5, 12, 13]), tensor([ 0, 10])]",Target Class: 1 Victim Class: 8 Trigger Size: 60.62558364868164 Optimization Steps: 69,60.62558364868164,25.12282917500203
id-00000033,False,label specific,910.5104508399963,"Targets: [5, 6], Victims: [tensor([6]), tensor([5])]",Target Class: 5 Victim Class: 6 Trigger Size: 173.40408325195312 Optimization Steps: 114,173.40408325195312,2.496981488374467
id-00000034,True,label specific,6584.269556760788,"Targets: [4, 7], Victims: [tensor([5, 6]), tensor([1, 4])]",Target Class: 7 Victim Class: 4 Trigger Size: 45.810150146484375 Optimization Steps: 83,45.810150146484375,27.50052328048567
id-00000035,True,label specific,545.6612787246704,"Targets: [0, 3, 4, 5, 9, 12, 13, 14, 15, 17], Victims: [tensor([1]), tensor([13]), tensor([5, 6]), tensor([4, 6]), tensor([10]), tensor([ 4, 13]), tensor([14]), tensor([13]), tensor([2, 8]), tensor([11])]",Target Class: 12 Victim Class: 4 Trigger Size: 113.78987121582031 Optimization Steps: 106,113.78987121582031,38.07394412989201
id-00000036,True,label specific,4285.226480722427,"Targets: [3, 4, 10, 11, 16], Victims: [tensor([ 1, 13]), tensor([3]), tensor([12]), tensor([12, 15]), tensor([15])]",Target Class: 3 Victim Class: 1 Trigger Size: 60.725318908691406 Optimization Steps: 110,60.725318908691406,21.93043109213534
id-00000037,False,,3.548707962036133,"Targets: [], Victims: []",,,
id-00000038,False,label specific,42.03270173072815,"Targets: [3], Victims: [tensor([2])]",Target Class: 3 Victim Class: 2 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000039,False,label specific,305.5787320137024,"Targets: [1, 6], Victims: [tensor([0]), tensor([1])]",Target Class: 1 Victim Class: 0 Trigger Size: 10000000000.0 Optimization Steps: 21,10000000000.0,
id-00000040,False,label specific,170.31443238258362,"Targets: [1, 3, 6], Victims: [tensor([4]), tensor([2]), tensor([7])]",Target Class: 3 Victim Class: 2 Trigger Size: 52.33933639526367 Optimization Steps: 101,52.33933639526367,2.9787930316827236
id-00000041,True,label specific,3857.265488386154,"Targets: [2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 17], Victims: [tensor([3]), tensor([20]), tensor([5, 7]), tensor([9]), tensor([11]), tensor([ 5, 10, 19]), tensor([11,  7, 13]), tensor([12, 15, 20]), tensor([10, 12]), tensor([12, 13]), tensor([19])]",Target Class: 12 Victim Class: 7 Trigger Size: 38.12527847290039 Optimization Steps: 105,38.12527847290039,56.233701706160296
id-00000042,False,label specific,65.04430603981018,"Targets: [3], Victims: [tensor([5, 6])]",Target Class: 3 Victim Class: 5 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000043,True,label specific,2767.1471676826477,"Targets: [7], Victims: [tensor([4, 6])]",Target Class: 7 Victim Class: 6 Trigger Size: 66.20185852050781 Optimization Steps: 104,66.20185852050781,22.96050458615154
id-00000044,False,label specific,248.8585660457611,"Targets: [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12], Victims: [tensor([1]), tensor([0]), tensor([0]), tensor([2, 7]), tensor([ 5, 12,  3]), tensor([2, 3, 4]), tensor([7, 8]), tensor([3, 6]), tensor([6]), tensor([11, 12, 13]), tensor([10, 13]), tensor([ 4, 11, 13])]",Target Class: 5 Victim Class: 4 Trigger Size: 45.73826599121094 Optimization Steps: 86,45.73826599121094,0.9064561403274659
id-00000045,True,Universal,6948.127823352814,"Targets: tensor([5]), Victims: None",Target Class: 5 Victim Class: all Trigger Size: 1317.4779357910156 Optimization Steps: 155,1317.4779357910156,
id-00000046,False,,11.897653341293335,"Targets: [], Victims: []",,,
id-00000047,True,Universal,2959.077815771103,"Targets: tensor([17]), Victims: None",Target Class: 17 Victim Class: all Trigger Size: 46.34105001177107 Optimization Steps: 53,46.34105001177107,
id-00000048,False,Universal,19995.170359373093,"Targets: tensor([2]), Victims: None",Target Class: 2 Victim Class: all Trigger Size: 3465.543387276786 Optimization Steps: 186,3465.543387276786,
id-00000049,False,label specific,446.6038830280304,"Targets: [0, 1, 2, 5, 7, 9, 10], Victims: [tensor([1]), tensor([0]), tensor([1]), tensor([4]), tensor([ 4,  9, 10]), tensor([10]), tensor([9])]",Target Class: 10 Victim Class: 9 Trigger Size: 209.86001586914062 Optimization Steps: 119,209.86001586914062,0.9598057525615874
