id,result,type,time cost,pre-screening,reverse,trigger size,sym ratio
id-00000000,False,label specific,1828.0326843261719,"Targets: [5], Victims: [tensor([4])]",Target Class: 5 Victim Class: 4 Trigger Size: 521.2872314453125 Optimization Steps: 167,521.2872314453125,1.0484117942527431
id-00000001,False,label specific,438.7777588367462,"Targets: [0, 2, 3, 4, 5, 6, 7, 9, 10], Victims: [tensor([2]), tensor([0, 3]), tensor([2]), tensor([5]), tensor([4]), tensor([ 7,  9, 10]), tensor([3, 6, 8]), tensor([10]), tensor([9])]",Target Class: 10 Victim Class: 9 Trigger Size: 144.07437133789062 Optimization Steps: 115,144.07437133789062,1.07439924643547
id-00000002,False,label specific,1061.8687117099762,"Targets: [0, 1, 2, 3, 5, 6, 7, 9, 10, 12, 14, 15, 17, 18, 19, 20, 21, 22], Victims: [tensor([3]), tensor([ 2, 12, 10]), tensor([ 3, 12, 17]), tensor([2]), tensor([13]), tensor([7]), tensor([ 8, 17]), tensor([3]), tensor([20]), tensor([ 2, 10, 11]), tensor([22, 11, 13]), tensor([13]), tensor([18]), tensor([12, 17]), tensor([21]), tensor([21]), tensor([17]), tensor([12, 13])]",Target Class: 7 Victim Class: 8 Trigger Size: 106.75656127929688 Optimization Steps: 132,106.75656127929688,2.220219318569355
id-00000003,False,label specific,19.049510955810547,"Targets: [0, 3], Victims: [tensor([5]), tensor([2])]",Target Class: 0 Victim Class: 5 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000004,False,label specific,1433.9627795219421,"Targets: [3], Victims: [tensor([2])]",Target Class: 3 Victim Class: 2 Trigger Size: 87.04647827148438 Optimization Steps: 127,87.04647827148438,6.6062792676466575
id-00000005,False,label specific,1203.3482065200806,"Targets: [5], Victims: [tensor([2])]",Target Class: 5 Victim Class: 2 Trigger Size: 319.00030517578125 Optimization Steps: 176,319.00030517578125,3.07287992482925
id-00000006,False,,19.139132976531982,"Targets: [], Victims: []",,,
id-00000007,True,label specific,1646.9690775871277,"Targets: [0, 4, 7], Victims: [tensor([1]), tensor([7]), tensor([4])]",Target Class: 4 Victim Class: 7 Trigger Size: 206.64797973632812 Optimization Steps: 119,206.64797973632812,15.95487046257953
id-00000008,False,,4.998541831970215,"Targets: [], Victims: []",,,
id-00000009,False,label specific,2486.373532295227,"Targets: [0, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16], Victims: [tensor([18, 19]), tensor([ 5, 12]), tensor([1]), tensor([6]), tensor([11]), tensor([7]), tensor([10]), tensor([7]), tensor([7]), tensor([5]), tensor([ 0, 13]), tensor([16]), tensor([15])]",Target Class: 11 Victim Class: 7 Trigger Size: 500.76812744140625 Optimization Steps: 235,500.76812744140625,0.6590032280730835
id-00000010,False,label specific,658.0319101810455,"Targets: [12, 13], Victims: [tensor([11]), tensor([11, 12])]",Target Class: 13 Victim Class: 11 Trigger Size: 373.2357482910156 Optimization Steps: 138,373.2357482910156,0.6981965691617684
id-00000011,False,label specific,633.8264319896698,"Targets: [1, 3, 5, 6, 7, 8], Victims: [tensor([2]), tensor([5]), tensor([4]), tensor([7]), tensor([6]), tensor([0])]",Target Class: 5 Victim Class: 4 Trigger Size: 127.34649658203125 Optimization Steps: 220,127.34649658203125,3.5155314422378736
id-00000012,False,label specific,906.0731518268585,"Targets: [17], Victims: [tensor([15])]",Target Class: 17 Victim Class: 15 Trigger Size: 627.7823486328125 Optimization Steps: 161,627.7823486328125,1.2983161095536997
id-00000013,False,label specific,20.944751262664795,"Targets: [1, 2], Victims: [tensor([8]), tensor([1, 6])]",Target Class: 1 Victim Class: 8 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
id-00000014,False,,8.4910147190094,"Targets: [], Victims: []",,,
id-00000015,False,label specific,1178.2650334835052,"Targets: [1, 4, 5], Victims: [tensor([2]), tensor([5]), tensor([0, 4])]",Target Class: 1 Victim Class: 2 Trigger Size: 207.84918212890625 Optimization Steps: 138,207.84918212890625,1.1135460992699537
id-00000016,True,Universal,3202.830800294876,"Targets: tensor([14]), Victims: None",Target Class: 14 Victim Class: all Trigger Size: 186.6862030029297 Optimization Steps: 104,186.6862030029297,
id-00000017,False,label specific,278.30059480667114,"Targets: [1, 7, 9, 10, 11, 13], Victims: [tensor([0]), tensor([4]), tensor([ 7, 10]), tensor([ 9, 14]), tensor([12]), tensor([2])]",Target Class: 10 Victim Class: 9 Trigger Size: 348.40411376953125 Optimization Steps: 119,348.40411376953125,0.8098959524043521
id-00000018,True,label specific,53.77509522438049,"Targets: [3], Victims: [tensor([7, 6, 5])]",Target Class: 3 Victim Class: 5 Trigger Size: 10.745586395263672 Optimization Steps: 65,10.745586395263672,150.14833303809058
id-00000019,False,label specific,1949.7235751152039,"Targets: [4, 6, 8, 12, 14, 15], Victims: [tensor([5]), tensor([ 0, 12]), tensor([0]), tensor([15]), tensor([0]), tensor([12])]",Target Class: 4 Victim Class: 5 Trigger Size: 256.1980895996094 Optimization Steps: 123,256.1980895996094,1.8895774784788124
id-00000020,False,label specific,13.899550914764404,"Targets: [1, 2], Victims: [tensor([5]), tensor([4])]",Target Class: 1 Victim Class: 5 Trigger Size: 10000000000.0 Optimization Steps: 11,10000000000.0,
